CustomerID,AgeCategory,Gender,Office_U,Office_W,QuestionTimestampStart,QuestionTimestampEnd,QuestionThemeID,QuestionSubthemeID,QuestionTopicID,QuestionTheme,QuestionSubtheme,QuestionTopic,QuestionTheme_EN,QuestionSubtheme_EN,QuestionTopic_EN
2090828,50-65,V,280,280,2016-01-06 12:51:34.000,2016-01-06 12:56:48.000,41,28379,28895,WN WW,Formulier Inkomstenopgave (WWZ 1-7-2015),Probleem: Ik heb geen Inkomstenopgave ontvangen. Wat nu?,WN WW,Income form declaration (WWZ 1 7 2015),Problem: I have not received Income Statement. What now?
2090828,50-65,V,280,280,2015-10-12 09:27:10.000,2015-10-12 09:40:42.000,41,28368,28338,WN WW,Aanvragen (WWZ 1-7-2015),Wanneer beslist UWV over mijn WW-aanvraag?,WN WW,Applications (WWZ 1 7 2015),If the UWV decides about my unemployment claim?
733565,30-39,M,296,290,2015-12-09 10:55:00.000,2015-12-09 11:00:17.000,41,28369,28610,WN WW,Status (WWZ 1-7-2015),Kan ik een voorschot krijgen over de eerste maand van mijn WW-uitkering?,WN WW,Status (WWZ 1 7 2015),Can I get an advance on the first month of my unemployment benefits?
733565,30-39,M,296,290,2015-12-23 14:17:04.000,2015-12-23 14:24:34.000,41,28369,28548,WN WW,Status (WWZ 1-7-2015),Wat is de status van mijn WW-aanvraag?,WN WW,Status (WWZ 1 7 2015),What is the status of my application WW?
1945807,50-65,M,230,233,2016-01-13 13:49:29.000,2016-01-13 13:53:48.000,41,28369,28548,WN WW,Status (WWZ 1-7-2015),Wat is de status van mijn WW-aanvraag?,WN WW,Status (WWZ 1 7 2015),What is the status of my application WW?
733565,30-39,M,296,290,2016-01-26 14:52:41.000,2016-01-26 14:53:33.000,41,23622,23622,WN WW,UWVraag: Kan ik informatie krijgen over...?,UWVraag: Kan ik informatie krijgen over...?,WN WW,UWVraag: Can I get information about ...?,UWVraag: Can I get information about ...?
1945807,50-65,M,230,233,2016-01-12 12:11:15.000,2016-01-12 12:22:33.000,41,22992,9321,WN WW,Correspondentie,Kunt u mij een kopie van de beslissing toesturen?,WN WW,Correspondence,Can you send me a copy of the decision?
2090828,50-65,V,280,280,2015-10-05 10:33:03.000,2015-10-05 10:42:32.000,41,26784,26784,WN WW,Aanvraag/Inschrijving WW,Aanvraag/Inschrijving WW,WN WW,Application/Registration WW,Application/Registration WW
2090828,50-65,V,280,280,2015-10-22 15:33:22.000,2015-10-22 15:39:46.000,41,28369,28548,WN WW,Status (WWZ 1-7-2015),Wat is de status van mijn WW-aanvraag?,WN WW,Status (WWZ 1 7 2015),What is the status of my application WW?
733565,30-39,M,296,290,2016-01-22 11:04:52.000,2016-01-22 11:12:18.000,41,28377,28503,WN WW,Betaling (WWZ 1-7-2015),Wanneer is/wordt mijn WW-uitkering overgemaakt?,WN WW,Payment (WWZ 1 7 2015),When is/are transferred my unemployment benefits?
2090828,50-65,V,280,280,2015-10-08 11:38:21.000,2015-10-08 13:16:59.000,41,28363,5576,WN WW,Rechten en plichten (WWZ 1-7-2015),Heb ik plichten voordat ik werkloos word?,WN WW,Rights and obligations (WWZ 1 7 2015),I have duties before I become unemployed?
2090828,50-65,V,280,280,2015-10-14 12:41:57.000,2015-10-14 12:57:12.000,41,28369,28610,WN WW,Status (WWZ 1-7-2015),Kan ik een voorschot krijgen over de eerste maand van mijn WW-uitkering?,WN WW,Status (WWZ 1 7 2015),Can I get an advance on the first month of my unemployment benefits?
2090828,50-65,V,280,280,2015-10-14 12:33:04.000,2015-10-14 12:41:41.000,31,22741,22749,UWV Algemeen,Schuldhulpverlening,Specifieke vraag,UWV General,Debt counseling,specific question
2090828,50-65,V,280,280,2015-10-22 15:39:47.000,2015-10-22 15:40:00.000,41,28379,28452,WN WW,Formulier Inkomstenopgave (WWZ 1-7-2015),Algemeen: Wanneer moet ik het formulier Inkomstenopgave versturen?,WN WW,Income form declaration (WWZ 1 7 2015),General: When should I send the form Revenue Problem?
2090828,50-65,V,280,280,2015-07-20 15:19:59.000,2015-07-20 15:42:47.000,31,22741,28664,UWV Algemeen,Schuldhulpverlening,Specifieke vraag,UWV General,Debt counseling,specific question
1945807,50-65,M,230,233,2015-07-21 10:48:46.000,2015-07-21 10:51:11.000,41,20319,9321,WN WW,Beslissing en bezwaar,Kunt u mij een kopie van de beslissing toesturen?,WN WW,Ruling and opposition,Can you send me a copy of the decision?
2090828,50-65,V,280,280,2015-10-12 12:28:41.000,2015-10-12 12:35:54.000,41,9838,11121,WN WW,Correspondentie,Naar welk adres moet ik de stukken opsturen?,WN WW,Correspondence,To which address should I send the documents?
2090828,50-65,V,280,280,2015-07-20 14:57:48.000,2015-07-20 14:58:15.000,31,22741,22749,UWV Algemeen,Schuldhulpverlening,Specifieke vraag,UWV General,Debt counseling,specific question
2090828,50-65,V,280,280,2015-10-13 13:17:57.000,2015-10-13 13:29:38.000,41,20316,5853,WN WW,Status,Kan ik een voorschot ontvangen op mijn WW-uitkering?,WN WW,status,Can I get an advance on my unemployment benefits?
2090828,50-65,V,280,280,2015-09-28 15:48:07.000,2015-09-28 15:49:31.000,41,20314,5753,WN WW,Recht,Voorwaarden: Ben ik verzekerd voor werkloosheid?,WN WW,Straight,Conditions: Am I insured for unemployment?
733565,30-39,M,296,290,2015-12-11 11:22:04.000,2015-12-11 11:26:42.000,41,28369,28610,WN WW,Status (WWZ 1-7-2015),Kan ik een voorschot krijgen over de eerste maand van mijn WW-uitkering?,WN WW,Status (WWZ 1 7 2015),Can I get an advance on the first month of my unemployment benefits?
2090828,50-65,V,280,280,2015-10-14 12:30:30.000,2015-10-14 12:33:03.000,41,20316,5853,WN WW,Status,Kan ik een voorschot ontvangen op mijn WW-uitkering?,WN WW,status,Can I get an advance on my unemployment benefits?
2090828,50-65,V,280,280,2015-10-05 10:42:49.000,2015-10-05 10:51:02.000,23116,20583,18729,WN WW,Agendering Niet computervaardigen,Specifieke vraag,WN WW,Not scheduling computer issue,specific question
2090828,50-65,V,280,280,2015-10-08 13:16:11.000,2015-10-08 13:29:09.000,41,20327,27687,WN WW,Aanvragen,Hoe kan ik een WW-uitkering aanvragen?,WN WW,apply,How can I apply for unemployment benefit?
2090828,50-65,V,280,280,2015-10-20 11:01:50.000,2015-10-20 11:11:41.000,41,1337,28172,WN WW,Beslaglegging,Specifieke vraag,WN WW,seizure,specific question
2090828,50-65,V,280,280,2015-10-20 11:13:17.000,2015-10-20 11:14:49.000,41,28379,28895,WN WW,Formulier Inkomstenopgave (WWZ 1-7-2015),Probleem: Ik heb geen Inkomstenopgave ontvangen. Wat nu?,WN WW,Income form declaration (WWZ 1 7 2015),Problem: I have not received Income Statement. What now?
